ID,Date,Time,TTC,LogTTC,Contamination,TLF,Type,Repeat,x,y,PopDensity,Nitrates,Sulfates,Conductivity,pH,Temperature,Salinity,Turbidity,FC,LogFC,CDOM,Sanitation,SepticTank,SoakPit,Latrines,Cattle,Trash,Cultivation,Construction,Road,Petrol station,Drainage channel,Fence,Apron area,Pump insanitary,CracksLoose,TotalRisk,DistanceToCemetery,DistanceToFarm,DistanceToIndustry,DistanceToLandfill,DistanceToRoads,GCNOM_1,TLFuncalibrated,PopDensity,superficie
1,29/05/2018,12:00,1,0.0000,0,27.386,1,1,238698.73,1632417.44,245.46,NA,NA,2460,6.04,29.6,1.27,7.6,253750,5.404406051,32.77,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,8,1826.3072,141.7553,300.1078,1071.0051,6.3785,Golf Sud,24.594,245.46,400
2,29/05/2018,14:00,5,0.6990,0,26.952,1,1,244129.27,1636215.27,213.69,NA,NA,2780,7.68,29.3,1.45,7.1,948750,5.977151789,49.49,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,8,2624.1124,3027.7177,3009.9389,493.1423,10.2589,Wakhinane Nimzatt,24.177,213.69,400
3,29/05/2018,16:00,40,1.6021,1,128.534,1,0,244551.27,1635073.52,213.69,NA,NA,2300,7.67,28.4,1.17,10.9,6365000,6.803798408,49.5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1437.1232,1886.1543,2031.5506,1444.6948,0.173,Wakhinane Nimzatt,121.624,213.69,400
4,30/05/2018,10:00,4,0.6021,0,42.603,2,0,244795.02,1631182.02,125.98,NA,NA,1990,6.47,28,1,4.9,1207500,6.081887139,171.83,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,5,1516.8023,1397.1076,1465.3689,3043.507,16.1668,Thiaroye Sur Mer,39.191,125.98,400
5,30/05/2018,11:30,3960,3.5977,1,66.425,3,1,246272.44,1631929.51,61.04,NA,NA,2870,7.73,25.2,1.49,8,5391250,6.731689471,200,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,176.137,1593.0781,746.1008,3417.3079,20.7322,Diamaguene Sicap Mbao,62.044,61.04,700
6,30/05/2018,13:00,4200,3.6232,1,55.142,3,1,246273.62,1632587.04,61.04,NA,NA,2070,8.01,26.5,1.06,2.7,4812500,6.682370743,128.74,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,5,334.7606,1681.7999,1237.5649,3076.1557,9.4125,Diamaguene Sicap Mbao,51.22,61.04,700
7,30/05/2018,14:30,11900,4.0755,1,44.597,2,1,245283.7,1633874.77,537.14,NA,NA,4490,7.9,28.5,2.38,35.9,2700000,6.431363764,157.61,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,7,78.5039,1127.0495,1718.8317,1768.3432,0.012,Yeumbeul Sud,41.104,537.14,200
8,30/05/2018,15:00,11,1.0414,1,65.469,1,1,245626.74,1633813.97,537.14,NA,NA,2250,7.13,28,1.15,11.8,3318750,6.520974538,80.26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,356.535,1376.1162,2016.527,2114.2161,15.9142,Yeumbeul Sud,61.126,537.14,200
9,31/05/2018,10:00,1,0.0000,0,9.784,2,0,248360.5,1637409.71,21.87,NA,NA,611,8.02,26.8,0.3,7,467500,5.669781615,33.13,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,6,351.8621,225.4187,3479.8378,146.9957,25.606,Malika,7.708,21.87,900
10,31/05/2018,11:00,29000,4.4624,1,54.972,2,1,247219.87,1636041.91,176.86,NA,NA,2680,7.59,27.2,1.38,9.1,5776250,6.761645982,166.71,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,6,1566.8023,1504.1861,3626.563,1273.313,20.8341,Yeumbeul Nord,51.057,176.86,800
11,31/05/2018,11:30,1800,3.2553,1,24.990,3,1,249458.98,1636753.48,39,NA,NA,1198,7.67,27.7,0.6,5.9,2362500,6.373371817,27.48,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,6,869.3932,946.9755,2298.5031,844.0535,4.776,Keur Massar,22.295,39,2000
12,31/05/2018,13:00,1480,3.1703,1,21.053,2,0,250341.75,1636259.72,39,NA,NA,566,6.83,27.1,0.28,4.3,430000,5.633468456,67.92,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,6,1267.4117,1950.1609,1506.1928,718.5868,34.885,Keur Massar,18.519,39,2000
13,31/05/2018,13:30,6480,3.8116,1,14.014,3,1,250782.58,1636261.14,39,NA,NA,1342,7.67,28,0.67,2.8,1218750,6.085914629,34.08,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,4,1035.4716,2031.4254,1483.3435,857.5018,30.4996,Keur Massar,11.766,39,2000
